epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,354.031,0.47983,0.7011,2.10458,0.88312,0,0.99679,0.31542,0.58062,0.55724,0.99679,0.31542,0.5945,0.55887,0.35709,0.51448,2.87288,0.67096,0,0.0002875,0.0002875,0.0002875
2,694.86,0.42408,0.34863,0.80888,0.84216,0,0.99291,0.5,0.73382,0.69819,0.99291,0.5,0.73426,0.68799,0.39651,0.33249,2.39425,0.68694,0,0.000575868,0.000575868,0.000575868
3,1009.56,0.40045,0.34947,0.69502,0.84757,0,0.99048,0.49973,0.96884,0.92846,0.99048,0.49973,0.96889,0.9073,0.36173,0.33064,2.49791,0.71526,0,0.000852355,0.000852355,0.000852355
4,1224.48,0.40891,0.30424,0.65698,0.8511,0,0.98491,0.74782,0.995,0.92785,0.98491,0.74782,0.995,0.94195,0.38757,0.31689,1.54342,0.69306,0,0.00111696,0.00111696,0.00111696
5,1439.61,0.39511,0.31607,0.6254,0.84471,0,0.97665,0.9493,0.995,0.96963,0.97665,0.9493,0.995,0.94468,0.31348,0.30485,1.14116,0.69158,0,0.001151,0.001151,0.001151
6,1673.47,0.35996,0.28957,0.57772,0.83557,0,0.99162,0.99492,0.995,0.96832,0.99162,0.99492,0.995,0.94096,0.2974,0.34717,0.755,0.68468,0,0.00112625,0.00112625,0.00112625
7,1913.03,0.35545,0.28145,0.56867,0.84004,0,0.99668,0.99672,0.995,0.96069,0.99668,0.99672,0.995,0.9379,0.3567,0.29985,0.63456,0.6905,0,0.0011015,0.0011015,0.0011015
8,2192.05,0.35199,0.29634,0.53202,0.8427,0,0.9956,0.99324,0.995,0.93837,0.9956,0.99324,0.995,0.95144,0.38755,0.32404,0.66747,0.7869,0,0.00107675,0.00107675,0.00107675
9,2471.83,0.33641,0.264,0.49711,0.83311,0,0.993,0.99378,0.995,0.97389,0.993,0.99378,0.995,0.93366,0.34787,0.27935,0.5895,0.76297,0,0.001052,0.001052,0.001052
10,2762.82,0.32469,0.25366,0.46265,0.83177,0,0.9967,0.99617,0.995,0.97909,0.9967,0.99617,0.995,0.93076,0.27827,0.27835,0.49959,0.67349,0,0.00102725,0.00102725,0.00102725
11,3051.19,0.30946,0.25594,0.45206,0.82971,0,0.99663,0.99587,0.995,0.98247,0.99663,0.99587,0.995,0.93049,0.25754,0.25889,0.50124,0.67475,0,0.0010025,0.0010025,0.0010025
12,3273.02,0.30063,0.25733,0.43774,0.82943,0,0.99832,0.9962,0.995,0.97591,0.99832,0.9962,0.995,0.95399,0.25747,0.24439,0.48191,0.66338,0,0.00097775,0.00097775,0.00097775
13,3428.82,0.29997,0.24085,0.4063,0.82608,0,0.99793,0.99678,0.995,0.98016,0.99793,0.99678,0.995,0.92487,0.24344,0.2792,0.39029,0.67241,0,0.000953,0.000953,0.000953
14,3590.94,0.28695,0.24488,0.40559,0.82224,0,0.99512,0.99583,0.99496,0.98435,0.99512,0.99583,0.99496,0.93727,0.24371,0.24788,0.46047,0.66883,0,0.00092825,0.00092825,0.00092825
15,3748.4,0.2874,0.24159,0.38899,0.82076,0,0.99839,0.99612,0.995,0.98551,0.99839,0.99612,0.995,0.9372,0.21473,0.25025,0.40785,0.67527,0,0.0009035,0.0009035,0.0009035
16,3905.86,0.29004,0.24846,0.38858,0.82744,0,0.99764,0.99516,0.99496,0.97934,0.99764,0.99516,0.99496,0.92425,0.23669,0.27655,0.40606,0.67175,0,0.00087875,0.00087875,0.00087875
17,4062.05,0.27499,0.23477,0.36489,0.82269,0,0.99761,0.99685,0.995,0.98808,0.99761,0.99685,0.995,0.94139,0.23121,0.32812,0.37459,0.67815,0,0.000854,0.000854,0.000854
18,4218.28,0.27537,0.23085,0.35249,0.82068,0,0.99866,0.99677,0.995,0.98861,0.99866,0.99677,0.995,0.95019,0.21789,0.24273,0.34455,0.67465,0,0.00082925,0.00082925,0.00082925
19,4373.79,0.26159,0.21909,0.34442,0.81719,0,0.99728,0.99801,0.995,0.9907,0.99728,0.99801,0.995,0.95259,0.20413,0.2445,0.33148,0.66772,0,0.0008045,0.0008045,0.0008045
20,4530.58,0.26875,0.21822,0.34953,0.82412,0,0.99661,0.9967,0.995,0.98894,0.99661,0.9967,0.995,0.93867,0.22111,0.27163,0.34903,0.67942,0,0.00077975,0.00077975,0.00077975
21,4688.99,0.26161,0.21506,0.33352,0.81888,0,0.99847,0.99615,0.995,0.98429,0.99847,0.99615,0.995,0.94842,0.23026,0.25783,0.36831,0.69327,0,0.000755,0.000755,0.000755
22,4846.03,0.26392,0.23061,0.32992,0.82061,0,0.99864,0.99673,0.995,0.98687,0.99864,0.99673,0.995,0.95262,0.20063,0.26019,0.29256,0.67157,0,0.00073025,0.00073025,0.00073025
23,5004.49,0.25555,0.21861,0.31187,0.8176,0,0.99807,0.9966,0.995,0.98782,0.99807,0.9966,0.995,0.9439,0.19798,0.27018,0.28434,0.67444,0,0.0007055,0.0007055,0.0007055
24,5163.27,0.25529,0.2116,0.30968,0.81871,0,0.99723,0.99703,0.995,0.99336,0.99723,0.99703,0.995,0.94576,0.18997,0.26491,0.30264,0.6714,0,0.00068075,0.00068075,0.00068075
25,5332.09,0.24332,0.19472,0.31862,0.81382,0,0.99734,0.99728,0.995,0.98861,0.99734,0.99728,0.995,0.93454,0.18178,0.25402,0.29312,0.66799,0,0.000656,0.000656,0.000656
26,5481.92,0.23569,0.21736,0.31029,0.81382,0,0.99703,0.99695,0.995,0.98855,0.99703,0.99695,0.995,0.93105,0.18828,0.24913,0.27865,0.66945,0,0.00063125,0.00063125,0.00063125
27,5649.78,0.23358,0.215,0.29235,0.81453,0,0.99677,0.99682,0.995,0.99209,0.99677,0.99682,0.995,0.95669,0.19817,0.25278,0.28151,0.67067,0,0.0006065,0.0006065,0.0006065
28,5815.46,0.23343,0.21401,0.28402,0.81673,0,0.99786,0.99716,0.995,0.99225,0.99786,0.99716,0.995,0.93758,0.16986,0.25511,0.25918,0.66163,0,0.00058175,0.00058175,0.00058175
